degree_of_automation,onet_code,occupation,year
49,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2015
49,31-9092.00,Medical Assistants,2015
49,43-4141.00,New Accounts Clerks,2015
49,13-2082.00,Tax Preparers,2015
49,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",2015
49,53-7073.00,Wellhead Pumpers,2015
48,51-8099.03,Biomass Plant Technicians,2015
48,17-3029.04,Electronics Engineering Technologists,2015
48,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers,2015
48,51-3092.00,Food Batchmakers,2015
48,13-1081.02,Logistics Analysts,2015
48,47-5042.00,Mine Cutting and Channeling Machine Operators,2015
48,29-1124.00,Radiation Therapists,2015
48,13-2099.02,Risk Management Specialists,2015
48,43-3071.00,Tellers,2015
47,19-2021.00,Atmospheric and Space Scientists,2015
47,27-4012.00,Broadcast Technicians,2015
47,51-9011.00,Chemical Equipment Operators and Tenders,2015
47,17-3022.00,Civil Engineering Technicians,2015
47,43-9011.00,Computer Operators,2015
47,43-4031.01,Court Clerks,2015
47,43-4041.01,Credit Authorizers,2015
47,43-5011.01,Freight Forwarders,2015
47,43-3041.00,Gaming Cage Workers,2015
47,17-1022.01,Geodetic Surveyors,2015
47,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2015
47,13-2052.00,Personal Financial Advisors,2015
47,31-9095.00,Pharmacy Aides,2015
47,43-5051.00,Postal Service Clerks,2015
47,43-4171.00,Receptionists and Information Clerks,2015
47,19-2099.01,Remote Sensing Scientists and Technologists,2015
47,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",2015
47,23-2093.00,"Title Examiners, Abstractors, and Searchers",2015
47,51-8031.00,Water and Wastewater Treatment Plant and System Operators,2015
46,51-9191.00,Adhesive Bonding Machine Operators and Tenders,2015
46,39-6011.00,Baggage Porters and Bellhops,2015
46,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2015
46,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",2015
46,51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",2015
46,43-4051.00,Customer Service Representatives,2015
46,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",2015
46,15-1141.00,Database Administrators,2015
46,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",2015
46,11-9013.02,Farm and Ranch Managers,2015
46,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2015
46,47-3016.00,Helpers--Roofers,2015
46,31-9094.00,Medical Transcriptionists,2015
46,51-4051.00,Metal-Refining Furnace Operators and Tenders,2015
46,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",2015
46,51-5111.00,Prepress Technicians and Workers,2015
46,51-5112.00,Printing Press Operators,2015
46,41-3031.03,Securities and Commodities Traders,2015
46,51-9141.00,Semiconductor Processors,2015
46,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",2015
45,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",2015
45,17-3011.02,Civil Drafters,2015
45,15-1151.00,Computer User Support Specialists,2015
45,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",2015
45,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",2015
45,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2015
45,15-1199.05,Geographic Information Systems Technicians,2015
45,15-1121.01,Informatics Nurse Specialists,2015
45,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",2015
45,43-3061.00,Procurement Clerks,2015
45,29-2099.06,Radiologic Technicians,2015
45,15-1199.01,Software Quality Assurance Engineers and Testers,2015
44,13-2021.02,"Appraisers, Real Estate",2015
44,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2015
44,17-3012.02,Electrical Drafters,2015
44,17-3029.03,Electromechanical Engineering Technologists,2015
44,17-3012.01,Electronic Drafters,2015
44,45-3011.00,Fishers and Related Fishing Workers,2015
44,19-1012.00,Food Scientists and Technologists,2015
44,39-3012.00,Gaming and Sports Book Writers and Runners,2015
44,19-4041.01,Geophysical Data Technicians,2015
44,49-9099.01,Geothermal Technicians,2015
44,15-2091.00,Mathematical Technicians,2015
44,17-3013.00,Mechanical Drafters,2015
44,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",2015
44,11-3061.00,Purchasing Managers,2015
44,27-3011.00,Radio and Television Announcers,2015
44,41-3031.02,"Sales Agents, Financial Services",2015
44,53-4041.00,Subway and Streetcar Operators,2015
44,17-3031.01,Surveying Technicians,2015
43,19-4031.00,Chemical Technicians,2015
43,27-1021.00,Commercial and Industrial Designers,2015
43,13-2071.00,Credit Counselors,2015
43,29-2011.01,Cytogenetic Technologists,2015
43,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2015
43,13-1041.04,Government Property Inspectors and Investigators,2015
43,49-9041.00,Industrial Machinery Mechanics,2015
43,43-4121.00,"Library Assistants, Clerical",2015
43,11-3071.03,Logistics Managers,2015
43,29-2035.00,Magnetic Resonance Imaging Technologists,2015
43,17-3029.09,Manufacturing Production Technicians,2015
43,11-9111.00,Medical and Health Services Managers,2015
43,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",2015
43,51-9195.07,Molding and Casting Workers,2015
43,29-1041.00,Optometrists,2015
43,23-2011.00,Paralegals and Legal Assistants,2015
43,51-5113.00,Print Binding and Finishing Workers,2015
43,41-9021.00,Real Estate Brokers,2015
43,11-9199.04,Supply Chain Managers,2015
43,43-2011.00,"Switchboard Operators, Including Answering Service",2015
43,15-1199.03,Web Administrators,2015
42,17-2199.01,Biochemical Engineers,2015
42,51-3021.00,Butchers and Meat Cutters,2015
42,11-1011.00,Chief Executives,2015
42,51-2021.00,"Coil Winders, Tapers, and Finishers",2015
42,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",2015
42,15-1131.00,Computer Programmers,2015
42,29-2011.02,Cytotechnologists,2015
42,45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers,2015
42,43-6012.00,Legal Secretaries,2015
42,45-4022.00,Logging Equipment Operators,2015
42,17-3031.02,Mapping Technicians,2015
42,13-1199.06,Online Merchants,2015
42,29-2052.00,Pharmacy Technicians,2015
42,51-8012.00,Power Distributors and Dispatchers,2015
41,41-3011.00,Advertising Sales Agents,2015
41,27-4011.00,Audio and Video Equipment Technicians,2015
41,35-3022.01,Baristas,2015
41,47-2011.00,Boilermakers,2015
41,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",2015
41,51-9198.00,Helpers--Production Workers,2015
41,23-1011.00,Lawyers,2015
41,17-2161.00,Nuclear Engineers,2015
41,29-1051.00,Pharmacists,2015
41,51-9151.00,Photographic Process Workers and Processing Machine Operators,2015
41,11-9131.00,Postmasters and Mail Superintendents,2015
41,11-2022.00,Sales Managers,2015
41,43-3021.01,Statement Clerks,2015
41,43-9111.00,Statistical Assistants,2015
41,33-9093.00,Transportation Security Screeners,2015
41,43-9022.00,Word Processors and Typists,2015
40,45-2091.00,Agricultural Equipment Operators,2015
40,15-1199.06,Database Architects,2015
40,43-9031.00,Desktop Publishers,2015
40,51-4071.00,Foundry Mold and Coremakers,2015
40,19-4041.02,Geological Sample Test Technicians,2015
40,15-1199.04,Geospatial Information Scientists and Technologists,2015
40,53-7041.00,Hoist and Winch Operators,2015
40,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",2015
40,43-4111.00,"Interviewers, Except Eligibility and Loan",2015
40,49-9043.00,"Maintenance Workers, Machinery",2015
40,29-2071.00,Medical Records and Health Information Technicians,2015
40,13-1121.00,"Meeting, Convention, and Event Planners",2015
40,19-1022.00,Microbiologists,2015
40,43-9071.00,"Office Machine Operators, Except Computer",2015
40,53-6021.00,Parking Lot Attendants,2015
40,51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",2015
40,43-5031.00,"Police, Fire, and Ambulance Dispatchers",2015
40,43-5061.00,"Production, Planning, and Expediting Clerks",2015
40,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2015
40,47-4091.00,Segmental Pavers,2015
40,51-6031.00,Sewing Machine Operators,2015
40,51-3023.00,Slaughterers and Meat Packers,2015
40,17-1022.00,Surveyors,2015
40,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",2015
40,51-4194.00,"Tool Grinders, Filers, and Sharpeners",2015
40,39-7012.00,Travel Guides,2015
39,11-2011.00,Advertising and Promotions Managers,2015
39,13-2021.01,Assessors,2015
39,15-2041.02,Clinical Data Managers,2015
39,51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2015
39,11-3031.02,"Financial Managers, Branch or Department",2015
39,45-1011.05,First-Line Supervisors of Logging Workers,2015
39,51-1011.00,First-Line Supervisors of Production and Operating Workers,2015
39,51-9071.06,Gem and Diamond Workers,2015
39,13-1081.01,Logistics Engineers,2015
39,17-2199.04,Manufacturing Engineers,2015
39,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2015
39,29-2057.00,Ophthalmic Medical Technicians,2015
39,29-2099.05,Ophthalmic Medical Technologists,2015
39,43-5081.04,"Order Fillers, Wholesale and Retail Sales",2015
39,51-4062.00,"Patternmakers, Metal and Plastic",2015
39,17-3029.08,Photonics Technicians,2015
39,11-9141.00,"Property, Real Estate, and Community Association Managers",2015
39,19-1031.02,Range Managers,2015
39,11-9199.07,Security Managers,2015
39,39-1012.00,Slot Supervisors,2015
39,53-7121.00,"Tank Car, Truck, and Ship Loaders",2015
39,15-1143.01,Telecommunications Engineering Specialists,2015
38,11-3011.00,Administrative Services Managers,2015
38,51-3011.00,Bakers,2015
38,13-1199.04,Business Continuity Planners,2015
38,15-1199.02,Computer Systems Engineers/Architects,2015
38,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",2015
38,33-3031.00,Fish and Game Wardens,2015
38,47-5081.00,Helpers--Extraction Workers,2015
38,13-1041.02,Licensing Examiners and Inspectors,2015
38,11-9081.00,Lodging Managers,2015
38,13-1081.00,Logisticians,2015
38,19-1029.02,Molecular and Cellular Biologists,2015
38,43-4031.02,Municipal Clerks,2015
38,33-3021.02,Police Identification and Records Officers,2015
38,51-4052.00,"Pourers and Casters, Metal",2015
38,29-2034.00,Radiologic Technologists,2015
38,41-3031.01,"Sales Agents, Securities and Commodities",2015
38,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",2015
38,15-1199.10,Search Marketing Strategists,2015
37,29-1141.01,Acute Care Nurses,2015
37,41-2011.00,Cashiers,2015
37,19-2031.00,Chemists,2015
37,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",2015
37,47-5041.00,Continuous Mining Machine Operators,2015
37,41-2021.00,Counter and Rental Clerks,2015
37,13-2041.00,Credit Analysts,2015
37,27-3041.00,Editors,2015
37,51-6092.00,Fabric and Apparel Patternmakers,2015
37,29-1062.00,Family and General Practitioners,2015
37,11-3051.02,Geothermal Production Managers,2015
37,51-9022.00,"Grinding and Polishing Workers, Hand",2015
37,53-7051.00,Industrial Truck and Tractor Operators,2015
37,11-9199.03,Investment Fund Managers,2015
37,37-3011.00,Landscaping and Groundskeeping Workers,2015
37,17-3029.06,Manufacturing Engineering Technologists,2015
37,17-3029.01,Non-Destructive Testing Specialists,2015
37,29-2033.00,Nuclear Medicine Technologists,2015
37,47-5061.00,"Roof Bolters, Mining",2015
37,53-5031.00,Ship Engineers,2015
37,17-2051.01,Transportation Engineers,2015
37,17-2199.02,Validation Engineers,2015
36,17-1011.00,"Architects, Except Landscape and Naval",2015
36,25-4011.00,Archivists,2015
36,11-3111.00,Compensation and Benefits Managers,2015
36,17-2061.00,Computer Hardware Engineers,2015
36,31-9099.02,Endoscopy Technicians,2015
36,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,2015
36,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",2015
36,15-1122.00,Information Security Analysts,2015
36,13-1161.00,Market Research Analysts and Marketing Specialists,2015
36,43-6013.00,Medical Secretaries,2015
36,29-1069.05,Nuclear Medicine Physicians,2015
36,31-1014.00,Nursing Assistants,2015
36,51-9123.00,"Painting, Coating, and Decorating Workers",2015
36,27-2012.03,Program Directors,2015
36,29-1069.10,Radiologists,2015
36,49-9097.00,Signal and Track Switch Repairers,2015
36,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",2015
35,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",2015
35,53-1011.00,Aircraft Cargo Handling Supervisors,2015
35,11-9039.01,Distance Learning Coordinators,2015
35,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",2015
35,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",2015
35,17-3029.05,Industrial Engineering Technologists,2015
35,19-2032.00,Materials Scientists,2015
35,17-2199.09,Nanosystems Engineers,2015
35,15-1142.00,Network and Computer Systems Administrators,2015
35,43-4151.00,Order Clerks,2015
35,53-7064.00,"Packers and Packagers, Hand",2015
35,31-9097.00,Phlebotomists,2015
35,29-1126.00,Respiratory Therapists,2015
35,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2015
35,15-1134.00,Web Developers,2015
34,45-2011.00,Agricultural Inspectors,2015
34,29-1061.00,Anesthesiologists,2015
34,19-1021.00,Biochemists and Biophysicists,2015
34,51-9031.00,"Cutters and Trimmers, Hand",2015
34,53-3031.00,Driver/Sales Workers,2015
34,41-3099.01,Energy Brokers,2015
34,13-1041.03,Equal Opportunity Representatives and Officers,2015
34,43-6011.00,Executive Secretaries and Executive Administrative Assistants,2015
34,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",2015
34,11-9051.00,Food Service Managers,2015
34,21-1013.00,Marriage and Family Therapists,2015
34,27-4013.00,Radio Operators,2015
34,21-1015.00,Rehabilitation Counselors,2015
33,25-9011.00,Audio-Visual and Multimedia Collections Specialists,2015
33,15-1199.08,Business Intelligence Analysts,2015
33,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",2015
33,23-2091.00,Court Reporters,2015
33,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",2015
33,11-9161.00,Emergency Management Directors,2015
33,33-2021.02,Fire Investigators,2015
33,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,2015
33,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,2015
33,33-9031.00,Gaming Surveillance Officers and Gaming Investigators,2015
33,47-4051.00,Highway Maintenance Workers,2015
33,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",2015
33,25-1082.00,"Library Science Teachers, Postsecondary",2015
33,53-7033.00,"Loading Machine Operators, Underground Mining",2015
33,13-2071.01,Loan Counselors,2015
33,11-9199.08,Loss Prevention Managers,2015
33,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",2015
33,53-7111.00,Mine Shuttle Car Operators,2015
33,51-4061.00,"Model Makers, Metal and Plastic",2015
33,33-3051.01,Police Patrol Officers,2015
33,21-1092.00,Probation Officers and Correctional Treatment Specialists,2015
33,47-5071.00,"Roustabouts, Oil and Gas",2015
33,33-9032.00,Security Guards,2015
33,47-2211.00,Sheet Metal Workers,2015
33,51-9195.03,"Stone Cutters and Carvers, Manufacturing",2015
33,11-3071.02,Storage and Distribution Managers,2015
33,25-1194.00,"Vocational Education Teachers, Postsecondary",2015
32,39-3091.00,Amusement and Recreation Attendants,2015
32,17-2031.00,Biomedical Engineers,2015
32,43-5011.00,Cargo and Freight Agents,2015
32,53-2012.00,Commercial Pilots,2015
32,15-1152.00,Computer Network Support Specialists,2015
32,15-1121.00,Computer Systems Analysts,2015
32,17-2199.03,Energy Engineers,2015
32,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2015
32,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,2015
32,39-3011.00,Gaming Dealers,2015
32,11-1021.00,General and Operations Managers,2015
32,15-1199.09,Information Technology Project Managers,2015
32,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",2015
32,43-9061.00,"Office Clerks, General",2015
32,19-4099.02,Precision Agriculture Technicians,2015
32,29-1024.00,Prosthodontists,2015
32,29-2054.00,Respiratory Therapy Technicians,2015
32,13-1199.02,Security Management Specialists,2015
32,15-2041.00,Statisticians,2015
32,43-5081.01,"Stock Clerks, Sales Floor",2015
32,11-3131.00,Training and Development Managers,2015
31,27-3021.00,Broadcast News Analysts,2015
31,17-2051.00,Civil Engineers,2015
31,33-3021.03,Criminal Investigators and Special Agents,2015
31,29-1141.03,Critical Care Nurses,2015
31,45-1011.06,First-Line Supervisors of Aquacultural Workers,2015
31,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,2015
31,13-2099.04,"Fraud Examiners, Investigators and Analysts",2015
31,17-2111.01,Industrial Safety and Health Engineers,2015
31,51-4041.00,Machinists,2015
31,13-1111.00,Management Analysts,2015
31,43-5041.00,"Meter Readers, Utilities",2015
31,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",2015
31,11-9121.00,Natural Sciences Managers,2015
31,19-4051.01,Nuclear Equipment Operation Technicians,2015
31,29-9012.00,Occupational Health and Safety Technicians,2015
31,19-4099.01,Quality Control Analysts,2015
31,11-3051.01,Quality Control Systems Managers,2015
31,41-9022.00,Real Estate Sales Agents,2015
31,53-1021.01,Recycling Coordinators,2015
31,39-9041.00,Residential Advisors,2015
31,21-1093.00,Social and Human Service Assistants,2015
31,41-4011.07,Solar Sales Representatives and Assessors,2015
31,51-4111.00,Tool and Die Makers,2015
31,29-1069.12,Urologists,2015
31,11-9121.02,Water Resource Specialists,2015
31,17-2081.01,Water/Wastewater Engineers,2015
30,17-2021.00,Agricultural Engineers,2015
30,19-4011.01,Agricultural Technicians,2015
30,53-2022.00,Airfield Operations Specialists,2015
30,19-1011.00,Animal Scientists,2015
30,53-7061.00,Cleaners of Vehicles and Equipment,2015
30,21-1094.00,Community Health Workers,2015
30,47-2061.00,Construction Laborers,2015
30,29-1069.02,Dermatologists,2015
30,17-3024.00,Electro-Mechanical Technicians,2015
30,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",2015
30,13-1074.00,Farm Labor Contractors,2015
30,33-1012.00,First-Line Supervisors of Police and Detectives,2015
30,39-4021.00,Funeral Attendants,2015
30,19-1029.03,Geneticists,2015
30,25-1071.00,"Health Specialties Teachers, Postsecondary",2015
30,11-3121.00,Human Resources Managers,2015
30,17-3026.00,Industrial Engineering Technicians,2015
30,11-3051.00,Industrial Production Managers,2015
30,17-1012.00,Landscape Architects,2015
30,17-2141.00,Mechanical Engineers,2015
30,29-2081.00,"Opticians, Dispensing",2015
30,19-1031.03,Park Naturalists,2015
30,31-2022.00,Physical Therapist Aides,2015
30,29-1081.00,Podiatrists,2015
30,33-3021.01,Police Detectives,2015
30,53-4031.00,Railroad Conductors and Yardmasters,2015
30,19-4099.03,Remote Sensing Technicians,2015
30,33-9099.02,Retail Loss Prevention Specialists,2015
30,15-1132.00,"Software Developers, Applications",2015
30,15-1133.00,"Software Developers, Systems Software",2015
30,27-2012.05,Technical Directors/Managers,2015
30,19-3099.01,Transportation Planners,2015
30,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2015
30,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2015
29,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2015
29,29-1069.01,Allergists and Immunologists,2015
29,11-9013.03,Aquacultural Managers,2015
29,17-2141.02,Automotive Engineers,2015
29,21-1021.00,"Child, Family, and School Social Workers",2015
29,11-3021.00,Computer and Information Systems Managers,2015
29,15-1143.00,Computer Network Architects,2015
29,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",2015
29,29-1031.00,Dietitians and Nutritionists,2015
29,35-9021.00,Dishwashers,2015
29,11-9032.00,"Education Administrators, Elementary and Secondary School",2015
29,11-9033.00,"Education Administrators, Postsecondary",2015
29,17-3023.01,Electronics Engineering Technicians,2015
29,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,2015
29,19-4011.02,Food Science Technicians,2015
29,53-6051.08,Freight and Cargo Inspectors,2015
29,25-9031.01,Instructional Designers and Technologists,2015
29,17-2131.00,Materials Engineers,2015
29,17-3027.00,Mechanical Engineering Technicians,2015
29,27-1014.00,Multimedia Artists and Animators,2015
29,29-2099.01,Neurodiagnostic Technologists,2015
29,47-2161.00,Plasterers and Stucco Masons,2015
29,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,2015
29,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2015
29,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,2015
29,51-2092.00,Team Assemblers,2015
29,19-3051.00,Urban and Regional Planners,2015
28,27-1011.00,Art Directors,2015
28,43-3021.02,"Billing, Cost, and Rate Clerks",2015
28,51-7011.00,Cabinetmakers and Bench Carpenters,2015
28,29-1141.04,Clinical Nurse Specialists,2015
28,35-2011.00,"Cooks, Fast Food",2015
28,53-7021.00,Crane and Tower Operators,2015
28,29-2051.00,Dietetic Technicians,2015
28,47-2081.00,Drywall and Ceiling Tile Installers,2015
28,17-2072.00,"Electronics Engineers, Except Computer",2015
28,17-2081.00,Environmental Engineers,2015
28,19-2041.00,"Environmental Scientists and Specialists, Including Health",2015
28,17-2111.02,Fire-Prevention and Protection Engineers,2015
28,33-1011.00,First-Line Supervisors of Correctional Officers,2015
28,17-2141.01,Fuel Cell Engineers,2015
28,11-9071.00,Gaming Managers,2015
28,47-4041.00,Hazardous Materials Removal Workers,2015
28,27-1025.00,Interior Designers,2015
28,11-2021.00,Marketing Managers,2015
28,15-2021.00,Mathematicians,2015
28,29-1151.00,Nurse Anesthetists,2015
28,33-3041.00,Parking Enforcement Workers,2015
28,17-2199.07,Photonics Engineers,2015
28,29-2053.00,Psychiatric Technicians,2015
28,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",2015
28,43-5071.00,"Shipping, Receiving, and Traffic Clerks",2015
28,39-5094.00,Skincare Specialists,2015
28,19-1031.01,Soil and Water Conservationists,2015
28,27-4014.00,Sound Engineering Technicians,2015
28,19-3022.00,Survey Researchers,2015
28,47-4099.03,Weatherization Installers and Technicians,2015
28,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",2015
27,29-1181.00,Audiologists,2015
27,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2015
27,15-2041.01,Biostatisticians,2015
27,25-1011.00,"Business Teachers, Postsecondary",2015
27,27-4031.00,"Camera Operators, Television, Video, and Motion Picture",2015
